Customs Office;; Location;; Last updated;; Commercial Flow - Canada bound;; Commercial Flow - U.S. bound;; Travellers Flow - Canada bound;; Travellers Flow - U.S. bound;;
St. Stephen;; St. Stephen, NB/Calais, ME;; 2017-04-09 20:59 ADT;; Not applicable;; --;; No delay;; --;; 
St. Stephen 3rd Bridge;; St. Stephen, NB/Calais, ME;; 2017-04-09 20:07 ADT;; No delay;; --;; No delay;; --;; 
Edmundston;; Edmundston, NB/Madawaska, ME;; 2017-04-09 14:24 ADT;; 10 minutes;; --;; 10 minutes;; --;; 
Woodstock Road;; Belleville, NB/Houlton, ME;; 2017-04-09 19:54 ADT;; No delay;; --;; No delay;; --;; 
Stanstead;; Stanstead, QC/Derby Line, VT;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
St-Armand/Philipsburg;; St. Armand, QC/Highgate Springs, VT;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
St-Bernard-de-Lacolle;; Lacolle, QC/Champlain, NY;; 2017-04-09 20:01 EDT;; No delay;; --;; 15 minutes;; --;; 
Cornwall;; Cornwall, ON/Rooseveltown, NY;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
Prescott;; Prescott, ON/Ogdensburg, NY;; 2017-04-09 18:54 EDT;; No delay;; --;; No delay;; --;; 
Thousand Islands Bridge;; Lansdowne, ON/Alexandria Bay, NY;; 2017-04-09 19:44 EDT;; No delay;; --;; No delay;; --;; 
Sault Ste. Marie;; Sault Ste. Marie, ON/Sault Ste. Marie, MI;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
Fort Frances Bridge;; Fort Frances, ON/International Falls, MN;; 2017-04-09 18:14 CDT;; No delay;; --;; No delay;; --;; 
Queenston-Lewiston Bridge;; Queenston, ON/Lewiston, NY;; 2017-04-09 20:10 EDT;; 3 minutes;; --;; 6 minutes;; --;; 
Rainbow Bridge;; Niagara Falls, ON/Niagara Falls, NY;; 2017-04-09 19:48 EDT;; Not applicable;; --;; 20 minutes;; --;; 
Peace Bridge;; Fort Erie, ON/Buffalo, NY;; 2017-04-09 20:10 EDT;; 4 minutes;; --;; 9 minutes;; --;; 
Blue Water Bridge;; Sarnia, ON/Port Huron, MI;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
Windsor and Detroit Tunnel;; Windsor, ON/Detroit, MI;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
Ambassador Bridge;; Windsor, ON/Detroit, MI;; 2017-04-09 19:14 EDT;; No delay;; --;; No delay;; --;; 
Emerson;; Emerson, MB/Pembina, ND;; 2017-04-09 17:45 CDT;; No delay;; --;; No delay;; --;; 
North Portal;; North Portal, SK/Portal, ND;; 2017-04-09 18:03 MDT;; No delay;; --;; No delay;; --;; 
Coutts;; Coutts, AB/Sweet Grass, MT;; 2017-04-09 18:09 MDT;; 5 minutes;; --;; 5 minutes;; --;; 
Abbotsford-Huntingdon;; Huntingdon, BC/Sumas, WA;; 2017-04-09 16:55 PDT;; No delay;; --;; 25 minutes;; --;; 
Aldergrove;; Aldergrove, BC/Lynden, WA;; 2017-04-09 17:10 PDT;; No delay;; --;; 7 minutes;; --;; 
Pacific Highway;; Surrey, BC/Blaine, WA;; 2017-04-09 17:10 PDT;; No delay;; --;; 19 minutes;; --;; 
Douglas (Peace Arch);; Surrey, BC/Blaine, WA;; 2017-04-09 17:10 PDT;; Not applicable;; --;; 29 minutes;; --;; 
Boundary Bay;; Delta, BC/Point Roberts, WA;; 2017-04-09 16:44 PDT;; No delay;; --;; No delay;; --;; 
